"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"Y77E11A.2",1.81497757466013,2.60400843758565e-11,"argk-2: Treated vs Untreated","cel00760","Nicotinate and nicotinamide metabolism"
"Y77E11A.2",1.81497757466013,2.60400843758565e-11,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y77E11A.2",1.81497757466013,2.60400843758565e-11,"argk-2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"C54E4.5",1.53698839642162,5.33555766859622e-15,"argk-2: Treated vs Untreated","cel00053","Ascorbate and aldarate metabolism"
"C54E4.5",1.53698839642162,5.33555766859622e-15,"argk-2: Treated vs Untreated","cel00562","Inositol phosphate metabolism"
"C54E4.5",1.53698839642162,5.33555766859622e-15,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"C54E4.5",1.53698839642162,5.33555766859622e-15,"argk-2: Treated vs Untreated","cel01250","Biosynthesis of nucleotide sugars"
"Y38F2AR.12",3.36608981456779,1.25438411583526e-78,"argk-2: Treated vs Untreated","cel00480","Glutathione metabolism"
"Y38F2AR.12",3.36608981456779,1.25438411583526e-78,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y69A2AR.7",1.48948388278639,2.61347751083534e-12,"argk-2: Treated vs Untreated","cel04136","Autophagy - other"
"Y69A2AR.7",1.48948388278639,2.61347751083534e-12,"argk-2: Treated vs Untreated","cel04140","Autophagy - animal"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04068","FoxO signaling pathway"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04137","Mitophagy - animal"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04140","Autophagy - animal"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04215","Apoptosis - multiple species"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04310","Wnt signaling pathway"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04361","Axon regeneration"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04517","IgSF CAM signaling"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04519","Cadherin signaling"
"ZC416.4",1.31309600761125,1.66838406883799e-07,"argk-2: Treated vs Untreated","cel04620","Toll-like receptor signaling pathway"
"Y37E11AR.2",1.20230574348051,1.74838616231343e-05,"argk-2: Treated vs Untreated","cel04120","Ubiquitin mediated proteolysis"
"Y37E11AR.2",1.20230574348051,1.74838616231343e-05,"argk-2: Treated vs Untreated","cel04137","Mitophagy - animal"
"Y37E11AR.2",1.20230574348051,1.74838616231343e-05,"argk-2: Treated vs Untreated","cel04310","Wnt signaling pathway"
"M02B7.6",-1.39724721994448,1.56413030500882e-06,"argk-2: Treated vs Untreated","cel04070","Phosphatidylinositol signaling system"
"C35B1.1",1.22764148056277,1.65907673827337e-05,"argk-2: Treated vs Untreated","cel04120","Ubiquitin mediated proteolysis"
